id,category,question,gold_evidence,citations,retrieved_evidence,answer,review_decision,suggested_evidence,reviewer_note
minigeo_027,model_cited_other,为什么开放资料需要记录 URL 和 license？,doc_system#chunk_002,doc_pyrite#chunk_002,"doc_system#chunk_002, doc_system#chunk_011, doc_pyrite#chunk_002, doc_dolomite#chunk_002, doc_olivine#chunk_002",开放资料需要记录 URL 和 license，以便控制来源追踪和版权风险。,,,
minigeo_030,model_cited_other,为什么说 MiniGeo 的贡献不是模型规模？,doc_system#chunk_004,doc_calcite#chunk_001,"doc_system#chunk_004, doc_hematite#chunk_001, doc_calcite#chunk_001, doc_system#chunk_011, doc_system#chunk_012",MiniGeo 的贡献在于构建 benchmark、RAG、证据验证和数据分析闭环，而非训练新的地学基础模型。,,,
minigeo_038,model_cited_other,为什么需要 failure case analysis？,doc_system#chunk_005,doc_pyrite#chunk_002,"doc_system#chunk_005, doc_system#chunk_004, doc_system#chunk_011, doc_pyrite#chunk_002, doc_system#chunk_009",失败案例分析需要区分数据缺失、检索失败、生成错误、验证误判和 SQL 错误，以确保系统能够准确识别问题来源并改进性能。,,,
minigeo_048,model_cited_other,能否声称 MiniGeo 已经训练出新的地学基础模型？,doc_system#chunk_004,doc_spectroscopy#chunk_003,"doc_system#chunk_004, doc_system#chunk_003, doc_spectroscopy#chunk_003, doc_system#chunk_006, doc_system#chunk_012",不能声称 MiniGeo 已经训练出新的地学基础模型，因为 MiniGeo 的贡献是 benchmark、RAG、证据验证和数据分析闭环，而不是训练新的地学基础模型。,,,
minigeo_049,model_cited_other,混合检索相比单一 BM25 的预期优势是什么？,doc_system#chunk_009,doc_pyrite#chunk_002,"doc_system#chunk_009, doc_system#chunk_011, doc_system#chunk_005, doc_pyrite#chunk_002, doc_quartz#chunk_003",混合检索相比单一 BM25 的预期优势是具有更高的证据召回率，因为它结合了词项匹配和语义匹配。,,,
minigeo_050,model_cited_other,为什么最终报告要包含 latency？,doc_system#chunk_010,doc_magnetite#chunk_002,"doc_magnetite#chunk_002, doc_system#chunk_006, doc_gypsum#chunk_001, doc_dolomite#chunk_002, doc_system#chunk_010",最终报告包含 latency 是因为它是系统可用性评估的一部分，用于反映端到端响应成本。,,,
minigeo_053,model_cited_neighbor,识别石英时为什么需要证据来源？,doc_quartz#chunk_001,doc_quartz#chunk_002,"doc_muscovite#chunk_002, doc_system#chunk_001, doc_quartz#chunk_001, doc_quartz#chunk_002, doc_system#chunk_006",识别石英时需要证据来源，因为光谱证据（如强拉曼峰接近 464 cm-1）可作为识别石英的重要依据，且返回证据来源可追踪引用是否支持结论。,,,
minigeo_055,model_cited_other,长石的常用组成或化学式是什么？,doc_feldspar#chunk_001,doc_anorthite#chunk_001,"doc_feldspar#chunk_001, doc_anorthite#chunk_001, doc_gypsum#chunk_001, doc_dolomite#chunk_001, doc_feldspar#chunk_002",长石的化学组成可表示为 CaAl2Si2O8（以钙长石为例）。,,,
minigeo_056,model_cited_other,识别长石时为什么需要证据来源？,doc_feldspar#chunk_001,"doc_anorthite#chunk_002, doc_olivine#chunk_002","doc_feldspar#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_001, doc_anorthite#chunk_002, doc_olivine#chunk_002",识别长石时，需要证据来源以确保分类准确，避免将长石族矿物（如钙长石）误归为其他类别（如碳酸盐矿物），并需结合晶体结构和谱学证据进行区分。,,,
minigeo_062,model_cited_neighbor,识别赤铁矿时为什么需要证据来源？,doc_hematite#chunk_001,"doc_hematite#chunk_002, doc_magnetite#chunk_002","doc_muscovite#chunk_002, doc_hematite#chunk_002, doc_system#chunk_001, doc_hematite#chunk_001, doc_magnetite#chunk_002",识别赤铁矿时需要证据来源，因为最终结论应结合结构或光谱证据，仅靠单一特征（如磁性）不足以区分赤铁矿与其他矿物（如磁铁矿）。,,,
minigeo_065,model_cited_neighbor,识别白云石时为什么需要证据来源？,doc_dolomite#chunk_001,"doc_dolomite#chunk_002, doc_muscovite#chunk_002","doc_muscovite#chunk_002, doc_dolomite#chunk_001, doc_system#chunk_001, doc_dolomite#chunk_002, doc_system#chunk_006",识别白云石需要证据来源，因为白云石与方解石同属碳酸盐体系但含有镁，反应和谱学解释需要区分，仅凭片状解理等特征不足以确认，必须通过可追踪的证据来源来支持结论。,,,
minigeo_071,model_cited_neighbor,识别磁铁矿时为什么需要证据来源？,doc_magnetite#chunk_001,doc_magnetite#chunk_002,"doc_muscovite#chunk_002, doc_magnetite#chunk_001, doc_magnetite#chunk_002, doc_system#chunk_001, doc_hematite#chunk_002",识别磁铁矿时需要证据来源，因为虽然磁性可以辅助区分磁铁矿和赤铁矿，但最终结论仍应结合结构或光谱证据，以确保识别的准确性。,,,
minigeo_074,model_cited_neighbor,识别黄铁矿时为什么需要证据来源？,doc_pyrite#chunk_001,doc_pyrite#chunk_002,"doc_muscovite#chunk_002, doc_pyrite#chunk_002, doc_pyrite#chunk_001, doc_system#chunk_001, doc_system#chunk_006",识别黄铁矿时需要证据来源，因为其金属光泽不能单独证明其为金或氧化物，必须结合硬度、条痕和成分等具体证据才能确认。,,,
minigeo_077,model_cited_neighbor,识别橄榄石时为什么需要证据来源？,doc_olivine#chunk_001,doc_olivine#chunk_002,"doc_olivine#chunk_001, doc_muscovite#chunk_002, doc_olivine#chunk_002, doc_system#chunk_001, doc_system#chunk_006",识别橄榄石需要证据来源，因为橄榄石与辉石都出现在镁铁质岩石中，分类时必须结合晶体结构和谱学证据，仅凭外观容易混淆。,,,
minigeo_080,model_cited_neighbor,识别白云母时为什么需要证据来源？,doc_muscovite#chunk_001,doc_muscovite#chunk_002,"doc_muscovite#chunk_002, doc_muscovite#chunk_001, doc_system#chunk_001, doc_kaolinite#chunk_002, doc_system#chunk_006",识别白云母时需要证据来源，因为可信的回答必须能够追踪到支持结论的具体依据，以便验证引用是否真正支撑了关于矿物特征（如片状解理）的陈述。,,,
minigeo_083,model_cited_other,识别高岭石时为什么需要证据来源？,doc_kaolinite#chunk_001,doc_muscovite#chunk_002,"doc_muscovite#chunk_002, doc_kaolinite#chunk_001, doc_system#chunk_001, doc_kaolinite#chunk_002, doc_system#chunk_006",识别高岭石时需要证据来源，因为返回证据来源可以让答案的可追踪性提高，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_086,model_cited_neighbor,识别钙长石时为什么需要证据来源？,doc_anorthite#chunk_001,"doc_anorthite#chunk_002, doc_muscovite#chunk_002","doc_feldspar#chunk_001, doc_anorthite#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_001",识别钙长石时需要证据来源，因为可信回答必须基于可追踪的证据，避免将钙长石误归为其他矿物（如碳酸盐矿物），并确保结论有依据支持。,,,
minigeo_131,model_cited_neighbor,比较赤铁矿和磁铁矿时为什么需要多条证据？,"doc_hematite#chunk_001, doc_magnetite#chunk_001","doc_hematite#chunk_002, doc_magnetite#chunk_002","doc_magnetite#chunk_001, doc_hematite#chunk_002, doc_magnetite#chunk_002, doc_hematite#chunk_001, doc_pyrite#chunk_002",比较赤铁矿和磁铁矿需要多条证据，因为仅凭磁性无法最终区分两者，必须结合结构或光谱证据；同时，两者均为铁氧化物矿物，需通过多种特征（如磁性、光谱特征）综合确认以避免误判。,,,
minigeo_134,model_cited_neighbor,比较橄榄石和长石时为什么需要多条证据？,"doc_feldspar#chunk_001, doc_olivine#chunk_001","doc_anorthite#chunk_002, doc_feldspar#chunk_002, doc_olivine#chunk_002","doc_olivine#chunk_001, doc_feldspar#chunk_001, doc_olivine#chunk_002, doc_feldspar#chunk_002, doc_anorthite#chunk_002",比较橄榄石和长石需要多条证据，因为橄榄石与辉石在镁铁质岩石中分类时需结合晶体结构和谱学证据，而长石与石英同属硅酸盐体系，部分框架振动特征可能接近，弱峰和噪声会增加混淆风险，且需区分钙长石与碳酸盐矿物。,,,
